"tv","Name","CAS","SMILES","MW","log10prediction","log10lower95","log10upper95","prediction","lower95","upper95","appl.domain","Source","Warnings"
"IUR","1-Bromo-2-chloroethane","107-04-0","ClCCBr",141.918491,4.93,NA,NA,6e-04,NA,NA,NA,"PPRTV",""
"RfD","1-Bromo-3-fluorobenzene","1073-06-9","FC1=CC(Br)=CC=C1",173.948041,7.58910193917708,5.97871367968313,9.0939793362648,0.00448040840131864,0.000140100667942621,0.182686250540983,4.89769275945286,"CTV",""
"RfDNOAEL","1-Bromo-3-fluorobenzene","1073-06-9","FC1=CC(Br)=CC=C1",173.948041,4.28139956967875,2.67761288168575,5.72414517458299,9.09955118854476,0.328302634291676,365.432072031028,3.20712862330883,"CTV",""
"RfDBMDL","1-Bromo-3-fluorobenzene","1073-06-9","FC1=CC(Br)=CC=C1",173.948041,4.88016228894262,3.09939443777123,6.59742371736267,2.29222504395389,0.043953738974377,138.364635811497,5.89194404746117,"CTV",""
"RfDBMD","1-Bromo-3-fluorobenzene","1073-06-9","FC1=CC(Br)=CC=C1",173.948041,4.59439520767084,2.59611397121804,6.53230769653507,4.42613172204283,0.051063648925804,440.864948280703,5.89194404746117,"CTV",""
"OSF","1-Bromo-3-fluorobenzene","1073-06-9","FC1=CC(Br)=CC=C1",173.948041,4.79909316666667,2.8102531155542,6.63281913865094,0.361970872462821,0.00371392879887161,24.6830939673195,6.71731625895332,"CTV",""
"CPV","1-Bromo-3-fluorobenzene","1073-06-9","FC1=CC(Br)=CC=C1",173.948041,5.38105966666667,3.40325116666667,7.43181893333334,1.38242037016066,0.0145489491028908,155.381529186347,5.12599296724173,"CTV",""
"RfC","1-Bromo-3-fluorobenzene","1073-06-9","FC1=CC(Br)=CC=C1",173.948041,7.228757,4.83502931666667,9.24761185000001,0.0102721781346446,9.83575476866897e-05,2.54325686480622,3.24302441400463,"CTV",""
"IUR","1-Bromo-3-fluorobenzene","1073-06-9","FC1=CC(Br)=CC=C1",173.948041,4.3447705,1.96015634166667,6.2088862,0.127160128439296,0.000524489501570161,9.29965115793878,8.68102044462435,"CTV",""
"RfD","p-Bromofluorobenzene","460-00-4","FC1=CC=C(Br)C=C1",173.948041,7.55763332628183,5.94724506678788,9.06251072336955,0.00481710614175249,0.000150629078324958,0.196414920397816,4.83371625839539,"CTV",""
"RfDNOAEL","p-Bromofluorobenzene","460-00-4","FC1=CC=C(Br)C=C1",173.948041,4.23904384815817,2.63525716016517,5.68178945306241,10.0317267466093,0.361934588768745,402.867637656399,3.1222331985567,"CTV",""
"RfDBMDL","p-Bromofluorobenzene","460-00-4","FC1=CC=C(Br)C=C1",173.948041,4.86957474358788,3.08880689241649,6.58683617200793,2.34879329516265,0.0450384431810714,141.779241850131,5.8544861402748,"CTV",""
"RfDBMD","p-Bromofluorobenzene","460-00-4","FC1=CC=C(Br)C=C1",173.948041,4.56334642530456,2.56506518885176,6.50125891416879,4.75415258991282,0.0548479787851783,473.537474095581,5.8544861402748,"CTV",""
"OSF","p-Bromofluorobenzene","460-00-4","FC1=CC=C(Br)C=C1",173.948041,4.63176578165117,2.6429257305387,6.46549175363544,0.246232990459967,0.00252642370995053,16.7908318147939,6.6899296286759,"CTV",""
"CPV","p-Bromofluorobenzene","460-00-4","FC1=CC=C(Br)C=C1",173.948041,5.23529733333334,3.25748883333334,7.28605660000001,0.988274958836087,0.0104008609726263,111.080303556782,5.10133271932618,"CTV",""
"RfC","p-Bromofluorobenzene","460-00-4","FC1=CC=C(Br)C=C1",173.948041,7.19769716666667,4.80396948333334,9.21655201666668,0.0110337305854444,0.000105649519312729,2.73180728449513,3.23094174656926,"CTV",""
