"Chemical","CASRN","DTXSID","INCHIKEY","name","pod.med","pod.med.lb"
"N,N,N',N'' Tetramethylphosphoramide (TMPA)","16853-36-4","DTXSID80168576","IQICYUQNNRAIMZ-UHFFFAOYSA-N","Kvasnicka",3.062224596,0.223411383
"2,3-Toluenediamine","2687-25-4","DTXSID4027494","AXNUJYHFQHQZBE-UHFFFAOYSA-N","Kvasnicka",6.801232179,0.496198969
"3,4-Toluenediamine","496-72-0","DTXSID9024930","DGRGLKZMKWPMOH-UHFFFAOYSA-N","Kvasnicka",3.27656462,0.239049035
"o-Aminophenol","95-55-6","DTXSID8024498","CDAWCLOXVUBKRW-UHFFFAOYSA-N","Kvasnicka",15.32569186,1.697171786
"tert-Butylbenzene","98-06-6","DTXSID3047138","YTZKOQUCBOVLHL-UHFFFAOYSA-N","Kvasnicka",17.06475528,1.244997047
"sec-Butylbenzene","135-98-8","DTXSID2022333","ZJMWRROPUADPEA-UHFFFAOYNA-N","Kvasnicka",17.03126908,1.242553987
"Cyanogen Bromide","506-68-3","DTXSID9021550","ATDGTVJJHBUTRL-UHFFFAOYSA-N","Kvasnicka",2.337613425,0.170545769
"1,3-Dibromobenzene","108-36-1","DTXSID7051555","JSRLURSZEMLAFO-UHFFFAOYSA-N","Kvasnicka",4.670435746,0.340741992
"n-Heptane","142-82-5","DTXSID6024127","IMNFDUFMRHMDMM-UHFFFAOYSA-N","Kvasnicka",40.68594363,2.968333202
"Methyl Phosphonic Acid","993-13-5","DTXSID5047748","YACKEPLHDIMKIO-UHFFFAOYSA-N","Kvasnicka",NA,NA
"Picramic Acid (2-Amino-4,6-dinitrophenol)","96-91-3","DTXSID5024479","QXYMVUZOGFVPGH-UHFFFAOYSA-N","Kvasnicka",2.002819554,0.14612014
"n-Propylbenzene","103-65-1","DTXSID3042219","ODLMAHJVESYWTB-UHFFFAOYSA-N","Kvasnicka",28.23501785,2.059948313
"1,2-Dinitrobenzene","528-29-0","DTXSID4024066","IZUKQUVSCNEFMJ-UHFFFAOYSA-N","Kvasnicka",13.87591306,1.53662284
"1,4-Dinitrobenzene","100-25-4","DTXSID0021836","FYFDQJRXFWGIBS-UHFFFAOYSA-N","Kvasnicka",15.86334673,1.756711851
"Thiocyanic Acid","463-56-9","DTXSID7047221","ZMZDMBWJUHKJPS-UHFFFAOYSA-N","Kvasnicka",6.478624735,0.472662428
"Methyl Acetate","79-20-9","DTXSID4021767","KXKVLQRXCPHEJC-UHFFFAOYSA-N","Kvasnicka",52.26573045,3.813162217
"Endosulfan Sulfate","1031-07-8","DTXSID3037541","AAPVQEMYVNZIOO-UHFFFAOYNA-N","Kvasnicka",0.32719595,0.023871306
"Guanidine","113-00-8","DTXSID0023117","ZRALSGWEFCBTJO-UHFFFAOYSA-N","Kvasnicka",11.35778351,0.828632271
"Aluminum Phosphate Salts","7784-30-7","DTXSID5064839","ILRRQNADMUWWFW-UHFFFAOYSA-K","von Borries",96.5997878666968,0.977382471471441
"4-Amino-2,6-Dinitrotoluene","19406-51-0","DTXSID8074312","KQRJATLINVYHEZ-UHFFFAOYSA-N","von Borries",2.22348295751544,0.174628446829221
"2-Amino-4,6-Dinitrotoluene","35572-78-2","DTXSID6044068","IEEJAAUSLQCGJH-UHFFFAOYSA-N","von Borries",1.68692935180843,0.174668587637203
"Ammonium Picrate","131-74-8","DTXSID50872815","PADMMUFPGNGRGI-UHFFFAOYSA-N","von Borries",4.88544669081421,0.168748784784368
"Benzo[e]pyrene (BeP)","192-97-2","DTXSID3023764","TXVHTIQJNYSSKO-UHFFFAOYSA-N","von Borries",0.672220773991285,0.0875036173380404
"2,3-Benzofluorene","243-17-4","DTXSID1022477","HAPOJKSPCGLOOD-UHFFFAOYSA-N","von Borries",14.7856285584348,0.110078917192726
"1-Bromo-2-chloroethane","107-04-0","DTXSID4024775","IBYHHJPAARCAIE-UHFFFAOYSA-N","von Borries",4.37232911012143,0.332970927790319
"1-Bromo-3-fluorobenzene","1073-06-9","DTXSID9061461","QDFKKJYEIFBEFC-UHFFFAOYSA-N","von Borries",5.43036812814535,0.240299226929355
"p-Bromofluorobenzene","460-00-4","DTXSID4027153","AITNMTXHTIIIBB-UHFFFAOYSA-N","von Borries",5.69941357753123,0.242873630766473
"tert-Butyl Formate","762-75-4","DTXSID4024690","RUPAXCPQAAOIPB-UHFFFAOYSA-N","von Borries",36.904120358522,3.08619054276705
"p,p'-DDD","72-54-8","DTXSID4020373","AHJKRLASYNVKDZ-UHFFFAOYSA-N","von Borries",2.40408109851614,0.162049054249438
"Dibenzothiophene","132-65-0","DTXSID0047741","IYYZUPMFVPLQIF-UHFFFAOYSA-N","von Borries",5.54130882434038,0.0356930521030647
"cis-1,2-Dichloroethylene","156-59-2","DTXSID2024030","KFUSEUYYWQURPO-UPHRSURJSA-N","von Borries",3.6310805453686,0.272657329855913
"2,2-Difluoropropane","420-45-1","DTXSID60870529","YZXSQDNPKVBDOG-UHFFFAOYSA-N","von Borries",10.2339931030292,0.0372852460741582
"3,5-Dinitroaniline","618-87-1","DTXSID0044151","MPBZUKLDHPOCLS-UHFFFAOYSA-N","von Borries",1.79344572450009,0.161752756783717
"n-Heptanal","111-71-7","DTXSID0021597","FXHGMKSSBGDXIY-UHFFFAOYSA-N","von Borries",35.0709710514639,3.75242156237289
"delta-Hexachlorocyclohexane","319-86-8","DTXSID5024134","JLYXXMFPNIAWKQ-GPIVLXJGNA-N","von Borries",0.668745968301664,0.00472473184972036
"4-Methyl-2-Pentanol","108-11-2","DTXSID2026781","WVYWICLMDOOCFB-UHFFFAOYNA-N","von Borries",37.8501639440074,4.57237677175894
